IdentifierDOI	Title	Abstract	DateIssued	RelatedTitle
10.1016/j.bbrc.2012.06.159	Phosphorylation of α-synuclein is crucial in compensating for proteasomal dysfunction	α-Synuclein can be degraded by both the ubiquitin-proteasomal system and the chaperone-lysosomal system. However, the switching mechanism between the two pathways is not clearly understood. In our study, we investigated the mutual association between the binding of α-synuclein to heat shock cognate 70 and the lysosomal translocation of α-synuclein. Tyrosine phosphorylation of Y136 on α-synuclein increased when it bound to heat shock protein 70. We also found that tyrosine phosphorylation of α-synuclein can be regulated by focal adhesion kinase pp125 and protein tyrosine phosphatase 1B. Furthermore, protein tyrosine phosphatase 1B inhibitor protected dopaminergic neurons against cell death and rescued rotarod performance in a Parkinson's disease animal model. This study provides evidence that the regulation of Y136 phosphorylation of α-synuclein can improve behavioral performance and protect against neuronal death by promoting the turnover of lysosomal degradation of α-synuclein. As a result, protein tyrosine phosphatase 1B inhibitor may be used as a potential therapeutic agent against Parkinson's disease.	2012-01-01	Biochemical and biophysical research communications
10.1016/j.snb.2014.03.099	Electrical characterization of high performance, liquid gated vertically stacked SiNW-based 3D FET biosensors	A 3D vertically stacked silicon nanowire (SiNW) field effect transistor featuring a high density array of fully depleted channels gated by a backgate and one or two symmetrical platinum side-gates through a liquid has been electrically characterized for their implementation into a robust biosensing system. The structures have also been characterized electrically under vacuum when completely surrounded by a thick oxide layer. When fully suspended, the SiNWs may be surrounded by a conformal high-K gate dielectric (HfO2) or silicon dioxide. The high density array of nanowires (up to 7 or 8 x 20 SiNWs in the vertical and horizontal direction, respectively) provides for high drive currents (1.3 mA/mu m, normalized to an average NW diameter of 30 nm at V-SG = 3 V, and V-d = 50 mV, for a standard structure with 7 x 10 NWs stacked) and high chances of biomolecule interaction and detection. The use of silicon on insulator substrates with a low doped device layer significantly reduces leakage currents for excellent I-on/I-off ratios >10(6) of particular importance for low power applications. When the nanowires are submerged in a liquid, they feature a gate all around architecture with improved electrostatics that provides steep subthreshold slopes (SS <75 mV/dec), low drain induced barrier lowering (DIBL < 20 mV/V) and high transconductances (g(m) > 10 mu S) while allowing for the entire surface area of the nanowire to be available for biomolecule sensing. The fabricated devices have small SiNW diameters (down to d(NW) similar to 15-30 nm) in order to be fully depleted and provide also high surface to volume ratios for high sensitivities. (C) 2014 Elsevier B.V. All rights reserved.	2014-01-01	Sensors And Actuators B-Chemical
10.1364/OE.18.020723	Imaging through turbid layers by scanning the phase conjugated second harmonic radiation from a nanoparticle	We demonstrate imaging through a turbid layer by using digital phase conjugation of the second harmonic field radiated from a beacon nanoparticle. We show that the phase-conjugated focus can be displaced from its initial position by illuminating the same region of the turbid layer with an angular offset. An image is obtained by scanning the phase-conjugated focus through the turbid layer in a region around the nanoparticle. We obtain a clear image of the target by measuring the light transmitted through it when scanning the focused beam. © 2010 Optical Society of America.	2010-01-01	Optics Express
10.1007/s11104-020-04782-z	Species identity, rather than species mixtures, drives cover crop effects on nutrient partitioning in unfertilized agricultural soil	Aims Previous cover crop studies mainly focused on the links between plant uptake and soil fertility, and there is a clear knowledge gap regarding the role of microbes in these processes. Our aim was then to better understand the effects of plant mixtures (versus monoculture) and the specific effects of each plant species on nitrogen (N) and phosphorus (P) partitioning between plant, soil, and more particularly microbial pools. Methods Monocultures and mixtures composed of black oat, field pea and Indian mustard were grown during two months in a greenhouse. The concentrations of carbon (C), N and P were measured in both plant and microbial biomass at final harvest, together with soil available N and P. Results Overall, our findings highlight stronger selection effect (i.e., presence of key species) rather than complementarity effects (i.e., species mixture) to affect the measured parameters. The presence of pea increased the biomass production of oat and mustard, as well as the nutrient concentration of oat, whereas pea P concentration decreased in presence of oat and mustard N and P concentrations were negatively impacted respectively by the presence of oat and pea. We also observed a strong competition between plants and microbes for both soil N and P. Conclusions The oat-pea and the oat-pea-mustard mixtures represented the best compromise between biomass production, nutrient storage and biomass C:N ratio, thus insuring a good organic matter decomposition and nutrient provision for the following main crop.	2021-01-01	Plant And Soil
10.1016/j.jhydrol.2007.12.012	Evaporation from a small water reservoir: Direct measurements and estimates	Summary Knowing the rate of evaporation from surface water resources such as chan¬nels and reservoirs is essential for precise management of the water balance. However, evaporation is difﬁcult to measure experimentally over water surfaces and several tech¬niques and models have been suggested and used in the past for its determination. In this research, evaporation from a small water reservoir in northern Israel was measured and estimated using several experimental techniques and models during the rainless summer. Evaporation was measured with an eddy covariance (EC) system consisting of a three-dimensional sonic anemometer and a Krypton hygrometer. Measurements of net radia¬tion, air temperature and humidity, and water temperature enabled estimation of other energy balance components. Several models and energy balance closure were evaluated. In addition, evaporation from a class-A pan was measured at the site. EC evaporation measurements for 21 days averaged 5.48 mm day�1. Best model predictions were obtained with two combined ﬂux-gradient and energy balance models (Penman–Mon¬teith–Unsworth and Penman–Brutsaert), which with the water heat ﬂux term, gave sim¬ilar daily average evaporation rates, that were up to 3% smaller than the corresponding EC values. The ratio between daily pan and EC evaporation varied from 0.96 to 1.94. The bulk mass transfer coefﬁcient was estimated using a model based on measurements of water surface temperature, evaporation rate and absolute humidity at 0.9 and 2.9 m above the water surface, and using two theoretical approaches. The bulk transfer coefﬁcient.	2008-01-01	Journal of Hydrology
10.1088/1741-4326/ab3b31	A power-balance model of the density limit in fusion plasmas: application to the L-mode tokamak	A power-balance model, with radiation losses from impurities and neutrals, gives a unified description of the density limit (DL) of the stellarator, the L-mode tokamak, and the reversed field pinch (RFP). The model predicts a Sudo-like scaling for the stellarator, a Greenwald- like scaling, alpha I-p(8/9), for the RFP and the ohmic tokamak, a mixed scaling, alpha (PIp4/9)-I-4/9, for the additionally heated L-mode tokamak. In a previous paper (Zanca et al 2017 Nucl. Fusion 57 056010) the model was compared with ohmic tokamak, RFP and stellarator experiments. Here, we address the issue of the DL dependence on heating power in the L-mode tokamak. Experimental data from high-density disrupted L-mode discharges performed at JET, as well as in other machines, arc taken as a term of comparison. The model fits the observed maximum densities better than the pure Greenwald limit.	2019-12-01	Nuclear Fusion
10.1103/PhysRevD.89.102001	Search for neutrino-induced particle showers with IceCube-40	We report on the search for neutrino-induced particle showers, so-called cascades, in the IceCube-40 detector. The data for this search were collected between April 2008 and May 2009 when the first 40 IceCube strings were deployed and operational. Three complementary searches were performed, each optimized for different energy regimes. The analysis with the lowest energy threshold (2 TeV) targeted atmospheric neutrinos. A total of 67 events were found, consistent with the expectation of 41 atmospheric muons and 30 atmospheric neutrino events. The two other analyses targeted a harder, astrophysical neutrino flux. The analysis with an intermediate threshold of 25 TeV leads to the observation of 14 cascadelike events, again consistent with the prediction of 3.0 atmospheric neutrino and 7.7 atmospheric muon events. We hence set an upper limit of E-2 Phi(lim) <= 7.46 x 10(-8) GeV sr(-1) s(-1) cm(-2) (90% C.L.) on the diffuse flux from astrophysical neutrinos of all neutrino flavors, applicable to the energy range 25 TeV to 5 PeV, assuming an E-nu(-2) spectrum and a neutrino flavor ratio of 1: 1: 1 at the Earth. The third analysis utilized a larger and optimized sample of atmospheric muon background simulation, leading to a higher energy threshold of 100 TeV. Three events were found over a background prediction of 0.04 atmospheric muon events and 0.21 events from the flux of conventional and prompt atmospheric neutrinos. Including systematic errors this corresponds to a 2.7 sigma excess with respect to the background-only hypothesis. Our observation of neutrino event candidates above 100 TeV complements IceCube's recently observed evidence for high-energy astrophysical neutrinos.	2014-01-01	Physical Review D
10.1038/nmat1693	Orientation selection in dendritic evolution	Computational and experimental demonstration of dendritic crystal growth direction and the morphologic diversity of the resulting dendritic structures are discussed. The primary dendrite growth directions can vary continuously between different crystallographic directions as a function of the composition-dependent anisotropy parameters. The dendritic microstructure of chemically etched and electropolished longitudinal sections of solidified alloys was analyzed using scanning electron microscopy and electron back-scattered diffraction (EBSD) orientation measurements. The experimental results shows the change of dendritic growth direction of compositions as a function of anisotropy in the phase-field simulation. The similarities between the computational and the experimental results strongly supports the hypothesis that the change of anisotropy parameters with the composition is the underlying mechanism of the damage of growth direction observed experimentally.	2008-01-01	Nature Materials
10.1016/j.precamres.2013.04.001	Stable isotope (S, C) chemostratigraphy and hydrocarbon biomarkers in the Ediacaran upper section of Sierras Bayas Group, Argentina	The Neoproterozoic sedimentary successions of the Sierras Bayas Group (SBG) are situated within the Tandilia Belt, Buenos Aires Province, Argentina. The Loma Negra Formation (LNF) from the upper part of the SBG has been investigated using a combination of inorganic, organic and isotopic geochemical methods in order to determine the stable isotope composition of carbonates (delta C-13(car), delta O-18(car)), kerogen (delta C-13(ker)), pyrite and carbonate associated sulfur (delta S-34(py), delta S-34(CAS)). Concentrations of major, trace and rare earth elements and hydrocarbon distributions were also investigated. This data set was used to further the understanding of the interactions between paleo-biodiversity and paleoenvironmental conditions for terminal Ediacaran (post-Gaskiers) shelf deposits. The high delta S-34(py) values exceeding the coeval delta S-34(CAS) values in green micritic limestones of the lower LNF may be explained by a combination of different events such as globally low seawater sulfate concentrations, an increased rate of bacterial sulfate reduction, and a decrease in sulfate levels in the near-bottom deepest water layer inherited from glaciations. Negative Ce anomalies in the dark grey micritic limestones of the upper LNF suggest they were deposited under oxidizing conditions. However, higher concentrations of Fe, Mo, Zn and REE, and the occurrence of authigenic S-34-enriched pyrite suggest that the sediments were maintained under reducing conditions. The distributions of hydrocarbon biomarkers (e.g. hopanes maximizing at C-29) are in line with this hypothesis and indicate a diverse microbial community including primary producers such as cyanobacteria (e.g. terminally-branched monomethyl alkanes, hopanoid distribution), phototrophic bacteria (e.g. acyclic isoprenoids C-<21) and green bacteria (e.g. n-C-18 >> Phytane). The unsteady Delta C-13(car-ker) values reflect changes in primary biomass due to relative contributions of bacterial microorganisms using different photosynthetic carbon-fixation pathways. The lowest Delta C-13(car-ker) values coincided with the latest biomarker signal interpreted as the signature of green non-sulfur bacteria using a less C-13 fractionation pathway. The combined biogeochemical features of the Loma Negra Formation, indicated a well-stratified water column with oxygenated surface waters, oxygen-poor bottom waters and anoxic sediments which helped to refine a correlation with the Polanco Formation from the Arroyo del Soldado Group in Uruguay. (C) 2013 Elsevier B.V. All rights reserved.	2013-01-01	Precambrian Research
10.33186/1027-3689-2020-10-63-76	Quantifying Engagement with Citations on Wikipedia (Part 2)	Wikipedia is one of the most visited sites on the Web and a common source of information for many users. As an encyclopedia, Wikipedia was not conceived as a source of original information, but as a gateway to secondary sources: according to Wikipedia's guidelines, facts must be backed up by reliable sources that reflect the full spectrum of views on the topic. Although citations lie at the heart of Wikipedia, little is known about how users interact with them. To close this gap, we built client-side instrumentation for logging all interactions with links leading from English Wikipedia articles to cited references during one month, and conducted the first analysis of readers' interactions with citations. We find that overall engagement with citations is low: about one in 300 page views results in a reference click (0,29% overall; 0,56% on desktop; 0,13% on mobile). Matched observational studies of the factors associated with reference clicking reveal that clicks occur more frequently on shorter pages and on pages of lower quality, suggesting that references are consulted more commonly when Wikipedia itself does not contain the information sought by the user. Moreover, we observe that recent content, open access sources, and references about life events (births, deaths, marriages, etc.) are particularly popular. Taken together, our findings deepen our understanding of Wikipedia's role in a global information economy where reliability is ever less certain, and source attribution ever more vital.	2020-01-01	Nauchnye I Tekhnicheskie Biblioteki-Scientific And Technical Libraries
10.1038/s41378-022-00440-9	Micro 3D printing of a functional MEMS accelerometer	Microelectromechanical system (MEMS) devices, such as accelerometers, are widely used across industries, including the automotive, consumer electronics, and medical industries. MEMS are efficiently produced at very high volumes using large-scale semiconductor manufacturing techniques. However, these techniques are not viable for the costefficient manufacturing of specialized MEMS devices at low- and medium-scale volumes. Thus, applications that require custom-designed MEMS devices for markets with low- and medium-scale volumes of below 5000-10,000 components per year are extremely difficult to address efficiently. The 3D printing of MEMS devices could enable the efficient realization and production of MEMS devices at these low- and medium-scale volumes. However, current micro-3D printing technologies have limited capabilities for printing functional MEMS. Herein, we demonstrate a functional 3D-printed MEMS accelerometer using 3D printing by two-photon polymerization in combination with the deposition of a strain gauge transducer by metal evaporation. We characterized the responsivity, resonance frequency, and stability over time of the MEMS accelerometer. Our results demonstrate that the 3D printing of functional MEMS is a viable approach that could enable the efficient realization of a variety of custom-designed MEMS devices, addressing new application areas that are difficult or impossible to address using conventional MEMS manufacturing.	2022-09-19	Microsystems & Nanoengineering
10.1016/S0011-2275(01)00006-6	Heat front propagation and quench initiation analysis of the ITER toroidal field model coil	In the International Thermonuclear Experimental Reactor (ITER) toroidal field model coil (TFMC) the experimental evaluation of the superconducting critical properties will only be possible by heating the helium upstream of the inner joint. In this coil only one of the Eve double pancakes is equipped with external heaters (DP11/DP12). A preliminary analysis of DP11 has shown that an instability of the cryogenic system, i.e. helium choking, occurs when only one pancake is heated and that, as a consequence, the test should be performed by heating with slow procedures and by cooling with high mass flow rates. We report here the final results of the heat front propagation and quench initiation analysis of the pancake DP11 and DP12, which confirm the qualitative results of the previous analysis. The uncertainty in the presently available set of joint input data is assessed parametrically. (C) 2001 Elsevier Science Ltd. All rights reserved.	2000-01-01	Cryogenics
10.1039/c6tc04956g	Charge generation by ultra-stretchable elastomeric electrets	Novel piezoelectric elastomers are synthesized and their long term stability and piezoelectric properties are investigated. They are thin film composites of specially designed polymer nanoparticles with high glass transition temperatures (T-g) and side groups with large permanent dipoles, which are embedded in chemically crosslinked polydimethylsiloxane matrices. To obtain a piezoelectric material, the initially randomly oriented polar groups in the nanoparticles are poled in a strong electric field while the film is heated above the T-g of the nanoparticles. Under these conditions the polar groups orient in the direction of the electric field and the achieved orientation is subsequently frozen-in by cooling the material back to room temperature. A permanent polarization responsible for the piezoelectricity is induced in the elastomers. All composites are elastic and can be strained up to 600%. The lateral piezoelectric coefficient d(31) of the composites are found to first decrease over a period of several days before ultimately stabilizing. The largest d(31) value obtained, 12.1 pC N-1, is comparable to commercially available materials which are not elastic. Two composites exhibit promising thermal stability at 50 degrees C and generate a maxim of 2.5 V when strained. The novel elastic electret materials described in this paper are likely to find application as stretchable sensors, soft electronics, transducers and energy harvesters. Another important aspect of this work is the abundantly available combinations of elastic matrices and high T-g polar polymers, which will allow the creation of elastic electrets with tailor-made properties in the future.	2017-01-01	Journal Of Materials Chemistry C
